DTE1,DTE2,Count,Average,pDelta
86,78,162,0.00358633,-0.79133
101,99,1,0.00356383,-0.83701
135,126,127,0.00355304,-0.684972
135,127,127,0.00354399,-0.684972
22,21,145,0.00351775,-0.446756
240,237,3,0.00350118,-0.77869
358,330,13,0.00348941,-0.974678
35,32,343,0.00348292,-0.556593
25,22,288,0.00348048,-0.507514
20,15,187,0.0034734,-0.597939
51,37,2,0.00346001,-0.91342
16,13,168,0.00345008,-0.507588
21,18,177,0.003447,-0.553155
22,19,9,0.00344445,-0.87112
87,83,5,0.00344062,-0.695552
6,4,263,0.00342949,-0.586578
126,125,1,0.00342857,-0.09142
204,199,5,0.00341665,-0.491976
30,27,245,0.00341075,-0.525411
16,11,241,0.00341043,-0.539529
17,16,118,0.00340234,-0.709542
88,86,53,0.00339293,-0.411348
52,41,1,0.00338287,-0.85427
239,237,1,0.00337373,-0.94854
45,43,18,0.00336941,-0.419221
410,406,13,0.0033585,-0.955349
135,132,127,0.00335454,-0.684972
59,52,6,0.00335348,-0.937052
23,20,177,0.0033521,-0.496843
86,83,159,0.00334481,-0.793863
409,402,1,0.00334091,-1
148,146,5,0.00332283,-0.838288
80,72,5,0.00331097,-0.895514
24,23,122,0.00330307,-0.695434
177,167,97,0.00327986,-0.586842
48,45,62,0.00327748,-0.46275
15,13,17,0.00326791,-0.569731
8,6,521,0.00326577,-0.530035
24,21,129,0.00326448,-0.686432
227,224,2,0.00325835,-0.69126
28,25,225,0.00325281,-0.524956
39,37,289,0.00325231,-0.460644
32,27,162,0.00324619,-0.573313
268,258,91,0.00322684,-0.556215
56,53,1,0.00322049,-0.98357
11,8,832,0.00321281,-0.517311
358,325,12,0.0032064,-0.972567
48,47,3,0.00320607,-0.171887
66,63,1,0.00320513,-0.81761
63,42,1,0.00319328,-0.86285
17,14,130,0.00318871,-0.72445
38,36,39,0.0031803,-0.495116
177,168,97,0.00316325,-0.586842
268,265,91,0.00316047,-0.556215
9,4,461,0.00315454,-0.597217
30,28,319,0.00314801,-0.570133
63,59,2,0.00314306,-0.909565
34,29,218,0.00314081,-0.564106
332,331,1,0.00313679,-0.64236
177,174,97,0.00313124,-0.586842
3,1,262,0.00312843,-0.632599
31,30,96,0.0031275,-0.617478
15,12,16,0.00312454,-0.753006
66,55,1,0.00312354,-0.81761
65,55,4,0.00311234,-0.916788
72,62,125,0.00310197,-0.657688
31,28,113,0.00309733,-0.590022
358,329,13,0.00309567,-0.974678
56,52,1,0.00309245,-0.98357
268,259,91,0.00308814,-0.556215
28,26,340,0.00308102,-0.563203
177,169,97,0.00307608,-0.586842
21,19,306,0.00307607,-0.527602
367,360,52,0.0030742,-0.759513
358,336,13,0.00307134,-0.974678
45,42,114,0.00306523,-0.613543
346,336,46,0.00306219,-0.885197
39,36,237,0.00305943,-0.468069
268,260,91,0.00305842,-0.556215
72,63,123,0.00305601,-0.668353
56,49,1,0.00304315,-0.98357
35,31,403,0.00302955,-0.559966
97,94,1,0.00302951,-0.88884
24,15,132,0.00302384,-0.681979
24,16,130,0.00301998,-0.685255
76,56,1,0.00301948,-0.85602
3,0,212,0.00301946,-0.688686
14,11,926,0.00301636,-0.459234
81,77,33,0.00298014,-0.644588
10,7,585,0.00297454,-0.521319
86,56,164,0.00295506,-0.790105
83,76,2,0.00295208,-0.825445
36,33,420,0.00294561,-0.417959
52,49,4,0.00294516,-0.89768
31,22,103,0.00292177,-0.626889
254,244,73,0.00291068,-0.620796
48,39,38,0.00289782,-0.537522
63,48,1,0.00289325,-0.86285
358,331,13,0.00288877,-0.974678
408,407,1,0.00288696,-0.87515
346,337,46,0.00288683,-0.885197
346,338,46,0.00288278,-0.885197
72,69,122,0.00288193,-0.673809
346,316,46,0.00286586,-0.885197
135,133,1,0.00286385,-0.76838
58,56,3,0.00285705,-0.914063
59,53,3,0.00285397,-0.940157
49,44,594,0.00285244,-0.555144
48,44,81,0.00282596,-0.597039
228,225,63,0.00282357,-0.497927
97,90,1,0.00281994,-0.88884
31,23,103,0.00281866,-0.627783
72,64,134,0.00280728,-0.655694
254,246,73,0.00280433,-0.620796
97,93,1,0.00279948,-0.88884
51,38,2,0.00279103,-0.91342
135,134,128,0.00279026,-0.685623
409,400,1,0.00278788,-1
163,153,102,0.00278207,-0.687065
86,62,159,0.00277505,-0.793863
19,17,157,0.00276838,-0.720131
45,37,117,0.00276495,-0.597891
254,245,73,0.00276209,-0.620796
49,43,436,0.00275964,-0.511709
63,49,3,0.00275777,-0.893993
63,41,1,0.00274807,-0.86285
93,90,3,0.00274471,-0.833687
86,72,163,0.0027412,-0.789693
45,35,120,0.00273988,-0.59755
101,97,1,0.00273936,-0.83701
23,21,367,0.00273561,-0.494081
38,37,113,0.00273224,-0.504375
358,324,12,0.00272518,-0.972567
135,105,127,0.00272346,-0.684972
135,121,128,0.00272146,-0.685623
135,128,127,0.00271913,-0.684972
33,31,134,0.00271808,-0.554324
358,337,13,0.00271058,-0.974678
31,25,233,0.00270689,-0.58022
381,371,97,0.00269826,-0.709646
86,55,159,0.00269347,-0.793863
17,8,130,0.00268959,-0.731543
77,62,3,0.00268892,-0.804313
163,154,102,0.00268889,-0.687065
39,35,168,0.00268298,-0.519117
126,124,1,0.00267347,-0.09142
101,90,1,0.00267166,-0.83701
86,79,162,0.00267121,-0.79133
32,28,267,0.00266945,-0.559152
34,31,138,0.00265966,-0.443937
410,408,13,0.00265842,-0.955349
135,111,127,0.00265689,-0.684972
86,85,161,0.00265368,-0.789104
228,226,63,0.00264011,-0.497927
45,44,98,0.00263901,-0.669872
358,326,13,0.00263302,-0.974678
45,36,119,0.00263179,-0.602363
76,62,1,0.00261364,-0.85602
135,115,128,0.00260533,-0.685623
331,330,3,0.00260515,-0.817987
360,350,80,0.00260507,-0.446996
358,350,13,0.00259767,-0.974678
86,66,167,0.00259465,-0.788622
17,9,127,0.00259096,-0.740023
31,24,237,0.0025873,-0.5943
77,71,35,0.0025867,-0.379951
436,426,61,0.00258424,-0.550883
86,63,167,0.00257931,-0.788622
177,176,97,0.00257325,-0.586842
254,251,73,0.0025718,-0.620796
106,98,7,0.00257134,-0.850199
