DTE1,DTE2,Count,Average,pDelta
219,87,28,0.000816894,-0.832896
19,6,330,0.000816759,-0.596202
381,275,97,0.000816552,-0.709646
534,373,73,0.000816389,-0.606727
162,14,53,0.000816167,-0.808256
190,51,53,0.000815755,-0.790496
135,69,127,0.000815696,-0.684972
38,2,106,0.000815553,-0.491003
28,12,310,0.000815494,-0.436114
162,7,53,0.000815451,-0.808256
405,225,4,0.000815446,-1
162,9,53,0.000815311,-0.808256
233,85,24,0.000815039,-0.915316
346,233,46,0.000814839,-0.885197
714,574,2,0.000814833,-1
381,245,97,0.000814751,-0.709646
367,225,52,0.000814713,-0.759513
233,71,24,0.000814651,-0.915316
83,23,2,0.000814494,-0.825445
436,384,61,0.000814352,-0.550883
311,154,16,0.000814252,-0.92436
268,185,91,0.000814083,-0.556215
233,63,24,0.000813846,-0.915316
254,85,73,0.000813293,-0.620796
163,119,180,0.000813226,-0.571844
162,64,53,0.00081302,-0.808256
409,322,1,0.000812957,-1
346,225,46,0.000812515,-0.885197
181,7,2,0.000812415,-0.954875
254,120,73,0.000812146,-0.620796
73,67,2,0.000812086,-0.89251
50,18,304,0.000811835,-0.458511
37,25,203,0.000811743,-0.338266
268,199,91,0.000811663,-0.556215
44,30,198,0.000811499,-0.363417
254,98,73,0.000811493,-0.620796
219,95,28,0.00081145,-0.832896
268,165,91,0.000811445,-0.556215
381,197,97,0.000811428,-0.709646
428,420,1,0.000811403,-1
105,86,180,0.000811161,-0.355182
36,16,446,0.000811103,-0.408649
66,27,2,0.000811058,-0.857495
32,16,324,0.000810977,-0.436158
436,352,61,0.000810955,-0.550883
18,2,283,0.000810842,-0.417193
409,296,1,0.00081074,-1
534,371,73,0.000810568,-0.606727
254,99,73,0.000810329,-0.620796
177,79,97,0.00081029,-0.586842
190,44,53,0.000810171,-0.790496
254,107,73,0.000809989,-0.620796
717,661,74,0.000809984,-0.603188
714,576,2,0.000809954,-1
233,70,24,0.000809814,-0.915316
36,12,328,0.000809785,-0.371372
50,21,339,0.00080972,-0.473766
41,4,52,0.000809688,-0.530094
534,374,73,0.000809684,-0.606727
409,206,1,0.000809449,-1
409,352,1,0.000809409,-1
85,50,3,0.000809368,-0.838487
311,165,16,0.000809299,-0.92436
43,23,405,0.000809121,-0.459523
219,85,28,0.000809096,-0.832896
717,654,74,0.000808988,-0.603188
233,126,24,0.000808849,-0.915316
190,50,53,0.000808392,-0.790496
405,221,4,0.000808373,-1
268,164,91,0.000808217,-0.556215
436,373,61,0.000808149,-0.550883
52,16,4,0.000807642,-0.89768
16,1,267,0.000807404,-0.405885
190,79,53,0.000807355,-0.790496
93,3,11,0.000807311,-0.861334
519,511,1,0.000807019,-1
93,48,3,0.000806959,-0.833687
233,66,24,0.000806916,-0.915316
190,72,53,0.000806594,-0.790496
381,175,97,0.000806542,-0.709646
408,392,1,0.000806522,-0.87515
381,239,97,0.000806272,-0.709646
15,0,195,0.000806245,-0.563567
534,457,73,0.000806122,-0.606727
714,570,2,0.000806021,-1
102,92,1,0.000805937,-0.83777
381,183,97,0.000805803,-0.709646
534,443,73,0.000805755,-0.606727
44,17,125,0.000805567,-0.422997
268,171,91,0.000805509,-0.556215
275,255,170,0.000805394,-0.425855
179,162,14,0.000805326,-0.970714
534,385,73,0.000804952,-0.606727
367,221,52,0.000804776,-0.759513
405,280,4,0.000804658,-1
346,127,46,0.000804494,-0.885197
714,569,2,0.000804479,-1
219,105,28,0.000804449,-0.832896
381,242,97,0.000804271,-0.709646
436,344,61,0.00080413,-0.550883
162,10,53,0.000803916,-0.808256
162,4,53,0.000803873,-0.808256
77,28,43,0.000803798,-0.471884
405,281,4,0.00080372,-1
53,10,2,0.000803576,-0.91778
254,197,73,0.000803401,-0.620796
436,358,61,0.000803152,-0.550883
346,128,46,0.000803141,-0.885197
27,12,40,0.000803124,-0.539713
32,17,390,0.000802987,-0.429263
39,29,286,0.000802858,-0.457998
37,14,197,0.000802852,-0.448794
536,525,11,0.000802795,-0.947563
325,198,24,0.000802413,-0.871847
409,203,1,0.000802405,-1
233,80,24,0.000802186,-0.915316
714,561,2,0.000802127,-1
534,438,73,0.000801932,-0.606727
233,84,24,0.00080191,-0.915316
162,11,53,0.000801644,-0.808256
717,555,74,0.000801599,-0.603188
128,16,28,0.000801565,-0.879063
219,77,28,0.000801494,-0.832896
233,60,24,0.000800973,-0.915316
83,0,2,0.000800882,-0.825445
62,20,1,0.000800866,-0.89046
233,67,24,0.000800819,-0.915316
717,624,74,0.000800691,-0.603188
233,65,24,0.000800544,-0.915316
409,345,1,0.000800426,-1
268,203,91,0.000800411,-0.556215
181,3,2,0.000800295,-0.954875
360,296,81,0.000800282,-0.442582
717,645,74,0.000800143,-0.603188
190,36,53,0.000800142,-0.790496
27,7,36,0.000800141,-0.49923
367,317,52,0.000800095,-0.759513
92,22,1,0.0008,-0.90752
162,3,53,0.000799899,-0.808256
381,297,97,0.000799884,-0.709646
534,435,73,0.000799758,-0.606727
268,163,91,0.000799612,-0.556215
346,123,46,0.00079924,-0.885197
405,290,4,0.000799158,-1
219,101,28,0.000799067,-0.832896
311,163,16,0.00079903,-0.92436
99,16,3,0.00079898,-0.89553
745,696,66,0.000798979,-0.555351
84,31,1,0.000798939,-0.91626
254,119,73,0.000798785,-0.620796
534,375,73,0.000798725,-0.606727
381,196,97,0.000798417,-0.709646
42,18,311,0.0007984,-0.414221
534,392,73,0.000798112,-0.606727
533,508,1,0.000797838,-1
715,690,1,0.000797838,-1
311,192,16,0.000797769,-0.92436
42,16,318,0.000797662,-0.390025
381,266,97,0.000797571,-0.709646
311,196,16,0.000797564,-0.92436
436,357,61,0.000797471,-0.550883
405,294,4,0.000797239,-1
87,74,10,0.000797054,-0.516593
409,332,1,0.00079693,-1
77,29,45,0.00079681,-0.485952
66,4,2,0.000796772,-0.854835
534,434,73,0.000796502,-0.606727
254,77,73,0.000796405,-0.620796
80,0,5,0.000796194,-0.895514
714,568,2,0.000796184,-1
254,86,73,0.00079606,-0.620796
381,192,97,0.000796017,-0.709646
714,556,2,0.000795898,-1
190,35,53,0.000795861,-0.790496
381,172,97,0.000795848,-0.709646
44,16,125,0.000795528,-0.422997
254,140,73,0.00079552,-0.620796
381,182,97,0.000795513,-0.709646
534,381,73,0.000795449,-0.606727
65,51,121,0.000795416,-0.416401
445,431,71,0.00079539,-0.506275
162,112,53,0.000795358,-0.808256
36,14,407,0.000795319,-0.43369
36,9,321,0.000795317,-0.399846
534,367,73,0.000795302,-0.606727
745,695,66,0.000795208,-0.555351
409,331,1,0.000795163,-1
162,2,53,0.000795085,-0.808256
325,196,24,0.000795034,-0.871847
233,122,24,0.000794852,-0.915316
52,21,4,0.000794841,-0.89768
18,1,283,0.000794767,-0.417896
62,9,2,0.000794389,-0.870415
409,309,1,0.000794318,-1
177,71,97,0.000794278,-0.586842
717,553,74,0.000794237,-0.603188
72,7,139,0.000794095,-0.643771
534,382,73,0.000794049,-0.606727
367,224,52,0.000793959,-0.759513
717,556,74,0.00079387,-0.603188
39,23,267,0.000793764,-0.419472
177,70,97,0.000793735,-0.586842
233,59,24,0.000793335,-0.915316
219,102,28,0.00079309,-0.832896
65,53,89,0.000792986,-0.34824
409,333,1,0.000792763,-1
83,1,2,0.00079272,-0.825445
714,595,2,0.000792605,-1
88,63,37,0.000792565,-0.465668
381,207,97,0.000792465,-0.709646
56,3,1,0.00079206,-0.98357
46,16,84,0.00079196,-0.660894
28,16,363,0.000791783,-0.523448
29,2,37,0.000791754,-0.593609
41,3,101,0.000791656,-0.501417
50,25,388,0.000791611,-0.44402
43,22,401,0.000791425,-0.460174
381,178,97,0.000791331,-0.709646
16,7,237,0.000791312,-0.421037
78,63,1,0.000791277,-0.82664
21,9,367,0.000791227,-0.491579
254,84,73,0.00079119,-0.620796
534,476,73,0.00079111,-0.606727
177,63,97,0.000791022,-0.586842
23,1,281,0.000790896,-0.392543
91,66,28,0.000790726,-0.32133
434,431,2,0.00079067,-0.920935
80,3,6,0.000790639,-0.888918
76,64,5,0.000790598,-0.864546
46,11,86,0.000790584,-0.647795
162,63,53,0.000790461,-0.808256
409,360,1,0.000790352,-1
190,31,53,0.000790292,-0.790496
32,15,321,0.00079024,-0.437248
190,32,53,0.00079011,-0.790496
88,66,37,0.000790047,-0.465668
92,77,1,0.000789855,-0.90752
41,9,101,0.000789798,-0.501417
254,116,73,0.000789776,-0.620796
190,37,53,0.000789673,-0.790496
190,43,53,0.000789596,-0.790496
66,15,3,0.000789568,-0.869017
233,81,24,0.000789357,-0.915316
346,234,46,0.000789355,-0.885197
346,126,46,0.000789274,-0.885197
311,156,16,0.000789213,-0.92436
254,156,73,0.000789124,-0.620796
219,59,28,0.000788913,-0.832896
219,74,28,0.000788897,-0.832896
254,100,73,0.000788744,-0.620796
745,658,68,0.000788675,-0.541201
318,300,2,0.00078866,-0.64407
311,170,16,0.000788563,-0.92436
381,171,97,0.000788448,-0.709646
233,64,24,0.000788297,-0.915316
436,378,61,0.000788287,-0.550883
325,199,24,0.000788219,-0.871847
219,64,28,0.000788212,-0.832896
23,16,347,0.000787937,-0.388575
381,179,97,0.00078787,-0.709646
85,18,1,0.000787833,-0.67022
311,193,16,0.000787813,-0.92436
100,48,95,0.000787599,-0.481526
717,567,74,0.000787564,-0.603188
812,736,31,0.000787553,-0.677744
381,193,97,0.000787437,-0.709646
42,8,317,0.000787363,-0.386556
162,1,53,0.000787292,-0.808256
717,632,74,0.000787217,-0.603188
162,60,53,0.000787207,-0.808256
714,560,2,0.000787193,-1
46,37,132,0.000787164,-0.620714
534,386,73,0.000787146,-0.606727
162,57,53,0.000787061,-0.808256
12,2,1049,0.000787001,-0.357051
254,59,73,0.000786607,-0.620796
53,15,2,0.000786552,-0.91778
91,42,28,0.000786402,-0.32133
346,106,46,0.00078635,-0.885197
39,30,222,0.00078607,-0.47092
254,113,73,0.000786047,-0.620796
381,177,97,0.000786016,-0.709646
310,289,167,0.000785666,-0.435959
128,9,28,0.00078556,-0.879063
254,74,73,0.000785419,-0.620796
714,534,2,0.000785182,-1
717,638,74,0.000785168,-0.603188
311,171,16,0.000785131,-0.92436
311,177,16,0.000785018,-0.92436
360,304,81,0.000784986,-0.442582
190,92,53,0.000784902,-0.790496
190,30,53,0.000784692,-0.790496
30,24,239,0.000784582,-0.263855
36,7,284,0.000784247,-0.385836
409,319,1,0.000784091,-1
534,365,73,0.00078406,-0.606727
162,0,53,0.000784029,-0.808256
37,24,215,0.000783906,-0.323163
410,395,13,0.000783541,-0.955349
346,107,46,0.000783281,-0.885197
84,0,1,0.00078311,-0.91626
38,4,327,0.000783077,-0.424973
219,60,28,0.000782998,-0.832896
254,185,73,0.000782998,-0.620796
106,3,7,0.000782828,-0.850199
381,282,97,0.000782812,-0.709646
73,8,2,0.000782742,-0.89251
254,64,73,0.000782712,-0.620796
717,574,74,0.000782573,-0.603188
190,53,53,0.000782427,-0.790496
219,63,28,0.000782279,-0.832896
311,175,16,0.000782264,-0.92436
534,459,73,0.000782216,-0.606727
745,729,58,0.000782043,-0.62045
367,220,52,0.000782014,-0.759513
534,388,73,0.000782008,-0.606727
717,557,74,0.000781959,-0.603188
534,431,73,0.000781948,-0.606727
77,64,40,0.000781819,-0.453038
219,58,28,0.00078181,-0.832896
346,105,46,0.000781664,-0.885197
190,42,53,0.000781523,-0.790496
254,58,73,0.000781322,-0.620796
87,66,25,0.000780975,-0.534315
219,72,28,0.000780895,-0.832896
717,549,74,0.000780725,-0.603188
436,359,61,0.000780661,-0.550883
219,86,28,0.000780262,-0.832896
52,14,4,0.000780224,-0.89768
534,378,73,0.000780147,-0.606727
409,304,1,0.000780086,-1
177,64,97,0.000780027,-0.586842
49,36,597,0.000779999,-0.459575
41,0,101,0.000779899,-0.501417
233,95,24,0.00077975,-0.915316
39,17,212,0.000779634,-0.423055
409,336,1,0.000779576,-1
381,263,97,0.000779491,-0.709646
534,430,73,0.000779414,-0.606727
405,224,4,0.000779245,-1
256,228,49,0.000778963,-0.793511
268,170,91,0.000778927,-0.556215
325,164,24,0.000778868,-0.871847
254,147,73,0.0007788,-0.620796
15,9,97,0.000778751,-0.387513
319,311,121,0.000778726,-0.490787
381,176,97,0.000778671,-0.709646
714,592,2,0.000778639,-1
254,60,73,0.000778572,-0.620796
42,15,349,0.000778509,-0.43308
268,198,91,0.000778478,-0.556215
26,3,153,0.000778414,-0.420482
254,72,73,0.000778152,-0.620796
409,211,1,0.000778122,-1
311,169,16,0.000778044,-0.92436
254,79,73,0.000777998,-0.620796
717,637,74,0.000777927,-0.603188
534,379,73,0.000777794,-0.606727
346,122,46,0.000777729,-0.885197
76,21,5,0.000777727,-0.864546
254,80,73,0.000777686,-0.620796
534,452,73,0.000777658,-0.606727
38,12,252,0.000777539,-0.376735
254,137,73,0.000777519,-0.620796
381,267,97,0.000777489,-0.709646
717,563,74,0.000777469,-0.603188
311,140,16,0.000777371,-0.92436
409,204,1,0.000777273,-1
254,141,73,0.000777234,-0.620796
381,247,97,0.000777232,-0.709646
311,189,16,0.000777134,-0.92436
52,17,4,0.000777128,-0.89768
219,98,28,0.000777042,-0.832896
360,305,81,0.000777001,-0.442582
436,345,61,0.000776797,-0.550883
219,84,28,0.000776769,-0.832896
99,44,3,0.000776496,-0.89553
238,234,6,0.000776392,-0.385878
97,44,1,0.000776336,-0.88884
28,13,324,0.000776173,-0.437793
409,310,1,0.000776171,-1
28,17,375,0.000776124,-0.523693
311,148,16,0.000776091,-0.92436
381,273,97,0.000776022,-0.709646
84,71,3,0.000775649,-0.430793
200,175,48,0.000775645,-0.628092
717,564,74,0.000775637,-0.603188
381,324,97,0.000775603,-0.709646
346,108,46,0.000775558,-0.885197
37,22,294,0.000775366,-0.421378
97,13,1,0.00077536,-0.88884
52,31,4,0.000775355,-0.89768
254,63,73,0.00077531,-0.620796
717,659,74,0.000775308,-0.603188
534,357,73,0.000775056,-0.606727
35,5,354,0.000774947,-0.49346
177,60,97,0.000774897,-0.586842
184,165,216,0.000774862,-0.355259
360,297,81,0.000774798,-0.442582
714,557,2,0.000774321,-1
409,305,1,0.000774257,-1
714,591,2,0.000774076,-1
534,437,73,0.000773961,-0.606727
325,192,24,0.000773954,-0.871847
28,5,241,0.000773878,-0.47138
42,14,332,0.00077362,-0.383125
85,35,1,0.000773418,-0.67022
190,38,53,0.000773404,-0.790496
219,80,28,0.000773393,-0.832896
337,325,1,0.000773391,-1
405,263,4,0.000773323,-1
254,148,73,0.000773196,-0.620796
233,114,24,0.000773004,-0.915316
37,17,303,0.000772951,-0.412524
254,78,73,0.000772792,-0.620796
361,351,103,0.000772706,-0.445795
436,340,61,0.000772671,-0.550883
534,339,73,0.000772373,-0.606727
360,308,81,0.000772314,-0.442582
219,79,28,0.000772289,-0.832896
91,74,28,0.000772189,-0.32133
325,182,24,0.000771773,-0.871847
62,7,2,0.000771752,-0.870415
717,625,74,0.000771694,-0.603188
66,14,3,0.000771375,-0.869017
87,32,15,0.000771081,-0.576246
346,101,46,0.000770872,-0.885197
717,617,74,0.000770832,-0.603188
534,462,73,0.000770778,-0.606727
325,200,24,0.000770696,-0.871847
39,27,42,0.000770046,-0.466339
254,184,73,0.000769883,-0.620796
33,22,187,0.000769837,-0.517553
360,302,81,0.000769691,-0.442582
436,337,61,0.00076956,-0.550883
325,163,24,0.000769538,-0.871847
311,143,16,0.000769379,-0.92436
233,121,24,0.000769285,-0.915316
717,547,74,0.000769241,-0.603188
42,9,313,0.000769186,-0.383495
534,429,73,0.000769173,-0.606727
311,147,16,0.00076913,-0.92436
332,314,1,0.00076913,-0.64236
21,12,209,0.00076894,-0.421596
93,20,3,0.000768938,-0.833687
219,99,28,0.000768935,-0.832896
436,336,61,0.000768895,-0.550883
325,169,24,0.000768791,-0.871847
717,620,74,0.000768544,-0.603188
106,8,7,0.000768504,-0.850199
219,106,28,0.000768459,-0.832896
190,39,53,0.000768386,-0.790496
534,366,73,0.00076834,-0.606727
181,141,2,0.000768332,-0.954875
92,57,1,0.000768323,-0.90752
177,67,97,0.000768309,-0.586842
105,84,180,0.000768285,-0.355182
311,190,16,0.000768277,-0.92436
325,165,24,0.00076826,-0.871847
268,154,91,0.000768255,-0.556215
254,121,73,0.000768043,-0.620796
717,616,74,0.000767986,-0.603188
41,1,105,0.000767918,-0.517231
717,568,74,0.000767425,-0.603188
46,15,83,0.000767171,-0.667823
268,161,91,0.000767068,-0.556215
405,220,4,0.000767026,-1
219,65,28,0.000766817,-0.832896
29,1,37,0.00076668,-0.615833
268,162,91,0.000766633,-0.556215
44,25,94,0.000766608,-0.338993
745,681,66,0.000766304,-0.555351
536,511,11,0.000766257,-0.947563
87,22,15,0.000765938,-0.576246
311,162,16,0.000765812,-0.92436
534,338,73,0.000765597,-0.606727
325,190,24,0.000765551,-0.871847
87,25,5,0.000765551,-0.695552
40,29,14,0.000765549,-0.508117
534,344,73,0.000765502,-0.606727
409,323,1,0.000765327,-1
190,140,53,0.00076529,-0.790496
219,78,28,0.000765282,-0.832896
190,29,53,0.000765216,-0.790496
717,570,74,0.000765122,-0.603188
714,529,2,0.000765083,-1
63,16,3,0.000764953,-0.893993
534,400,73,0.000764819,-0.606727
107,91,11,0.000764453,-0.618093
534,387,73,0.000764266,-0.606727
346,114,46,0.000764169,-0.885197
717,639,74,0.000763874,-0.603188
381,274,97,0.000763818,-0.709646
534,364,73,0.000763552,-0.606727
717,560,74,0.000763464,-0.603188
15,1,130,0.000763421,-0.376765
717,539,74,0.000763262,-0.603188
87,31,15,0.000763097,-0.576246
311,137,16,0.000762997,-0.92436
534,340,73,0.000762643,-0.606727
190,91,53,0.000762368,-0.790496
325,168,24,0.000762332,-0.871847
85,59,3,0.000762285,-0.838487
190,28,53,0.000762111,-0.790496
409,210,1,0.000762106,-1
745,655,66,0.000762094,-0.555351
52,10,4,0.000761994,-0.89768
564,539,17,0.000761971,-0.951874
50,8,221,0.000761947,-0.428088
311,142,16,0.000761879,-0.92436
381,241,97,0.000761794,-0.709646
436,361,61,0.000761633,-0.550883
197,182,156,0.000761592,-0.401936
717,521,74,0.000761213,-0.603188
717,561,74,0.000760987,-0.603188
311,197,16,0.000760934,-0.92436
254,71,73,0.000760717,-0.620796
311,144,16,0.000760716,-0.92436
714,533,2,0.000760488,-1
534,354,73,0.000760339,-0.606727
254,65,73,0.000760312,-0.620796
181,134,2,0.000760161,-0.954875
15,2,113,0.000760146,-0.357114
43,21,400,0.000760022,-0.457466
534,343,73,0.000759868,-0.606727
92,55,1,0.000759694,-0.90752
405,289,4,0.000759686,-1
436,274,61,0.000759662,-0.550883
165,136,32,0.000759564,-0.759588
190,88,53,0.000759371,-0.790496
409,358,1,0.000759358,-1
100,45,95,0.000759239,-0.481526
812,703,31,0.000758847,-0.677744
100,21,95,0.000758584,-0.481526
325,179,24,0.000758401,-0.871847
381,253,97,0.000758216,-0.709646
674,655,69,0.000758045,-0.489991
436,354,61,0.000757907,-0.550883
25,13,18,0.000757833,-0.454498
23,15,309,0.000757812,-0.323118
93,62,3,0.000757683,-0.833687
62,3,2,0.000757675,-0.870415
141,91,36,0.000757459,-0.671661
311,157,16,0.000757047,-0.92436
409,308,1,0.000756975,-1
310,290,167,0.000756805,-0.435959
177,43,97,0.000756687,-0.586842
85,65,3,0.000756671,-0.838487
436,333,61,0.000756612,-0.550883
534,360,73,0.000756551,-0.606727
367,219,52,0.000756527,-0.759513
367,218,52,0.000756458,-0.759513
534,352,73,0.000756321,-0.606727
534,359,73,0.000756313,-0.606727
717,613,74,0.00075616,-0.603188
93,17,3,0.000756154,-0.833687
534,380,73,0.000755973,-0.606727
101,3,1,0.000755808,-0.83701
16,2,263,0.000755729,-0.401419
100,58,95,0.000755568,-0.481526
190,85,53,0.000755287,-0.790496
268,155,91,0.000755261,-0.556215
26,4,150,0.000755015,-0.420342
311,136,16,0.000754911,-0.92436
105,85,180,0.000754608,-0.355182
77,23,40,0.000754585,-0.457797
436,332,61,0.000754363,-0.550883
83,31,2,0.000754335,-0.825445
714,596,2,0.000754228,-1
254,127,73,0.000754096,-0.620796
534,399,73,0.000754079,-0.606727
219,112,28,0.000753994,-0.832896
717,520,74,0.000753896,-0.603188
22,3,149,0.000753699,-0.391801
717,522,74,0.000753686,-0.603188
219,71,28,0.000753625,-0.832896
268,151,91,0.000753596,-0.556215
717,548,74,0.000753581,-0.603188
346,100,46,0.00075353,-0.885197
254,81,73,0.000753425,-0.620796
141,28,36,0.000753108,-0.671661
717,526,74,0.000753093,-0.603188
346,121,46,0.000753064,-0.885197
57,52,4,0.000753037,-1
87,39,15,0.000752947,-0.576246
190,24,53,0.000752747,-0.790496
46,4,49,0.00075233,-0.695171
812,737,31,0.000752225,-0.677744
311,161,16,0.000752091,-0.92436
436,364,61,0.000751776,-0.550883
409,357,1,0.000751748,-1
190,25,53,0.000751612,-0.790496
367,214,52,0.000751517,-0.759513
254,115,73,0.000751421,-0.620796
745,668,66,0.000751294,-0.555351
812,735,31,0.000750996,-0.677744
177,56,97,0.000750632,-0.586842
79,22,2,0.000750603,-0.934555
79,56,2,0.000750413,-0.934555
381,254,97,0.000750412,-0.709646
254,70,73,0.000750347,-0.620796
534,358,73,0.000750325,-0.606727
358,344,9,0.000750312,-0.970749
190,21,53,0.000750218,-0.790496
219,57,28,0.000749838,-0.832896
534,451,73,0.000749758,-0.606727
141,35,36,0.000749522,-0.671661
254,133,73,0.000749333,-0.620796
346,95,46,0.000749324,-0.885197
177,35,97,0.000749321,-0.586842
717,612,74,0.000749309,-0.603188
717,525,74,0.000749159,-0.603188
325,177,24,0.000749065,-0.871847
410,394,13,0.000748973,-0.955349
190,23,53,0.00074896,-0.790496
717,546,74,0.000748945,-0.603188
92,65,1,0.000748792,-0.90752
88,73,35,0.000748781,-0.394031
99,13,3,0.000748756,-0.89553
436,275,61,0.0007486,-0.550883
37,15,195,0.000748471,-0.441318
268,134,91,0.000748449,-0.556215
534,396,73,0.000748412,-0.606727
325,206,24,0.000748297,-0.871847
534,477,73,0.000748186,-0.606727
254,128,73,0.000748133,-0.620796
142,36,24,0.000748009,-0.976553
219,49,28,0.000747894,-0.832896
254,189,73,0.000747745,-0.620796
100,57,95,0.000747552,-0.481526
254,144,73,0.000747455,-0.620796
436,287,61,0.000747393,-0.550883
311,141,16,0.000747368,-0.92436
92,52,1,0.000747283,-0.90752
177,42,97,0.000747218,-0.586842
381,259,97,0.000747204,-0.709646
101,8,1,0.000746969,-0.83701
534,420,73,0.000746753,-0.606727
181,2,2,0.000746734,-0.954875
311,203,16,0.000746583,-0.92436
436,339,61,0.000746416,-0.550883
177,59,97,0.000746251,-0.586842
254,57,73,0.00074625,-0.620796
325,210,24,0.000746112,-0.871847
381,256,97,0.000746044,-0.709646
219,56,28,0.000745926,-0.832896
233,58,24,0.000745811,-0.915316
73,65,2,0.000745809,-0.89251
812,702,31,0.000745792,-0.677744
101,73,1,0.000745631,-0.83701
717,534,74,0.000745426,-0.603188
717,569,74,0.000745424,-0.603188
38,7,336,0.000745403,-0.407248
714,588,2,0.000745293,-1
405,197,4,0.000745171,-1
254,130,73,0.000745101,-0.620796
46,14,83,0.000745087,-0.667823
254,66,73,0.000745079,-0.620796
717,619,74,0.000745033,-0.603188
436,331,61,0.000744946,-0.550883
141,29,36,0.000744854,-0.671661
717,536,74,0.000744744,-0.603188
346,116,46,0.00074471,-0.885197
534,345,73,0.000744591,-0.606727
66,45,3,0.000744137,-0.869017
436,276,61,0.000744062,-0.550883
142,43,24,0.000743992,-0.976553
36,8,307,0.00074381,-0.395916
141,43,36,0.000743777,-0.671661
92,58,1,0.000743606,-0.90752
381,249,97,0.000743573,-0.709646
181,87,2,0.000743425,-0.954875
21,5,280,0.000743399,-0.370024
717,541,74,0.000743317,-0.603188
436,273,61,0.000743269,-0.550883
717,582,74,0.000743267,-0.603188
30,8,306,0.000743111,-0.383225
717,542,74,0.00074309,-0.603188
254,49,73,0.000742882,-0.620796
381,170,97,0.000742839,-0.709646
745,582,66,0.000742834,-0.555351
219,52,28,0.000742541,-0.832896
177,50,97,0.000742532,-0.586842
346,109,46,0.000742443,-0.885197
381,248,97,0.000742379,-0.709646
219,70,28,0.00074236,-0.832896
534,393,73,0.00074236,-0.606727
48,0,86,0.000742303,-0.557856
436,294,61,0.000742049,-0.550883
190,22,53,0.000742013,-0.790496
268,126,91,0.000741839,-0.556215
436,379,61,0.000741829,-0.550883
66,24,1,0.000741758,-0.81761
311,158,16,0.000741605,-0.92436
367,217,52,0.000741569,-0.759513
177,53,97,0.000741424,-0.586842
219,66,28,0.000741372,-0.832896
381,270,97,0.000741338,-0.709646
39,25,319,0.000741234,-0.426254
33,3,124,0.000741156,-0.527027
163,53,102,0.000741127,-0.687065
219,108,28,0.000741114,-0.832896
717,641,74,0.000741004,-0.603188
32,18,366,0.000740748,-0.42945
381,311,97,0.000740745,-0.709646
366,347,67,0.000740711,-0.531435
325,170,24,0.000740682,-0.871847
83,28,2,0.000740502,-0.825445
268,158,91,0.000740493,-0.556215
714,589,2,0.000740367,-1
100,31,95,0.00074027,-0.481526
745,682,66,0.000739948,-0.555351
39,24,283,0.000739867,-0.42475
129,119,1,0.000739726,-0.79757
254,67,73,0.000739685,-0.620796
177,51,97,0.000739667,-0.586842
346,99,46,0.000739615,-0.885197
83,29,2,0.000739582,-0.825445
254,123,73,0.000739568,-0.620796
381,252,97,0.000739537,-0.709646
325,184,24,0.000739485,-0.871847
714,602,2,0.000739456,-1
381,240,97,0.000739102,-0.709646
80,57,6,0.000739095,-0.888918
254,136,73,0.000739083,-0.620796
346,98,46,0.000738992,-0.885197
268,119,91,0.000738887,-0.556215
346,115,46,0.000738811,-0.885197
717,540,74,0.00073873,-0.603188
233,57,24,0.000738656,-0.915316
717,562,74,0.000738647,-0.603188
190,18,53,0.000738631,-0.790496
436,283,61,0.000738622,-0.550883
80,48,3,0.000738583,-0.90995
745,689,66,0.000738478,-0.555351
100,36,95,0.000738452,-0.481526
50,17,340,0.000738371,-0.472873
812,704,31,0.000738276,-0.677744
254,56,73,0.00073824,-0.620796
141,25,36,0.000738214,-0.671661
21,10,316,0.000738068,-0.512468
177,28,97,0.000738027,-0.586842
52,18,3,0.000737961,-0.91215
254,126,73,0.000737902,-0.620796
165,143,32,0.000737797,-0.759588
268,133,91,0.00073761,-0.556215
136,125,1,0.000737564,-0.78228
325,207,24,0.000737528,-0.871847
219,53,28,0.000737442,-0.832896
254,122,73,0.000737431,-0.620796
745,690,66,0.000737401,-0.555351
381,262,97,0.000737267,-0.709646
381,169,97,0.000737259,-0.709646
714,532,2,0.000737159,-1
717,611,74,0.000737091,-0.603188
18,4,305,0.000737048,-0.481073
219,51,28,0.000737034,-0.832896
436,284,61,0.000736914,-0.550883
233,53,24,0.000736815,-0.915316
714,571,2,0.00073667,-1
141,24,36,0.000736592,-0.671661
219,46,28,0.000736511,-0.832896
405,196,4,0.000736371,-1
177,44,97,0.000736278,-0.586842
436,277,61,0.000736257,-0.550883
405,198,4,0.00073617,-1
717,634,74,0.000736166,-0.603188
163,32,102,0.000736154,-0.687065
346,112,46,0.000735978,-0.885197
360,273,81,0.000735947,-0.442582
80,46,3,0.000735924,-0.867887
177,39,97,0.000735908,-0.586842
325,185,24,0.000735782,-0.871847
92,21,1,0.000735762,-0.90752
19,4,139,0.000735742,-0.59507
177,31,97,0.000735547,-0.586842
85,70,3,0.000735461,-0.838487
141,31,36,0.000735409,-0.671661
325,191,24,0.000735015,-0.871847
36,15,408,0.000734922,-0.42597
254,52,73,0.000734786,-0.620796
181,93,2,0.000734621,-0.954875
534,351,73,0.000734589,-0.606727
48,7,73,0.000734574,-0.487643
717,581,74,0.000734454,-0.603188
177,29,97,0.000734436,-0.586842
25,0,257,0.000734397,-0.499061
